id_foto,id_servico,caminho_arquivo,descricao,data_upload
1,1,/fotos/servicos/1/foto_1.jpg,Depois,2026-09-24
2,2,/fotos/servicos/2/foto_1.jpg,Detalhe do acabamento,2025-03-21
3,2,/fotos/servicos/2/foto_2.jpg,Depois,2025-03-22
4,3,/fotos/servicos/3/foto_1.jpg,Depois,2026-04-22
5,3,/fotos/servicos/3/foto_2.jpg,Depois,2026-04-25
6,4,/fotos/servicos/4/foto_1.jpg,Detalhe do acabamento,2025-12-21
7,4,/fotos/servicos/4/foto_2.jpg,,2025-12-19
8,6,/fotos/servicos/6/foto_1.jpg,Detalhe do acabamento,2025-07-22
9,8,/fotos/servicos/8/foto_1.jpg,,2024-03-12
10,8,/fotos/servicos/8/foto_2.jpg,Depois,2024-03-09
11,9,/fotos/servicos/9/foto_1.jpg,Depois,2024-12-02
12,9,/fotos/servicos/9/foto_2.jpg,Antes,2024-12-04
13,9,/fotos/servicos/9/foto_3.jpg,Depois,2024-12-04
14,10,/fotos/servicos/10/foto_1.jpg,Depois,2026-05-13
15,10,/fotos/servicos/10/foto_2.jpg,,2026-05-11
16,10,/fotos/servicos/10/foto_3.jpg,Depois,2026-05-14
17,11,/fotos/servicos/11/foto_1.jpg,Detalhe do acabamento,2024-05-26
18,13,/fotos/servicos/13/foto_1.jpg,,2025-06-09
19,13,/fotos/servicos/13/foto_2.jpg,,2025-06-06
20,14,/fotos/servicos/14/foto_1.jpg,Depois,2025-11-06
21,14,/fotos/servicos/14/foto_2.jpg,Antes,2025-11-10
22,15,/fotos/servicos/15/foto_1.jpg,Antes,2025-04-27
23,17,/fotos/servicos/17/foto_1.jpg,Antes,2025-05-30
24,18,/fotos/servicos/18/foto_1.jpg,,2026-04-11
25,18,/fotos/servicos/18/foto_2.jpg,Detalhe do acabamento,2026-04-10
26,18,/fotos/servicos/18/foto_3.jpg,Ambiente geral,2026-04-12
27,19,/fotos/servicos/19/foto_1.jpg,Depois,2025-10-08
28,19,/fotos/servicos/19/foto_2.jpg,Antes,2025-10-10
29,19,/fotos/servicos/19/foto_3.jpg,Antes,2025-10-07
