id_manutencao,id_cliente,id_servico_origem,descricao,preco,data_solicitacao,data_execucao,status
1,134,1149,Retoque de pintura no gesso 3D,339.24,2026-01-20,,solicitada
2,299,1538,Reparo em divisória drywall após passagem de fiação elétrica,312.72,2025-11-26,2025-12-12,concluída
3,77,443,Reforço de fixação do forro,306.0,2026-09-03,,agendada
4,28,1134,Infiltração próxima à sanca,,2026-04-14,2026-04-23,concluída
5,172,,Infiltração próxima à sanca,376.65,2025-09-26,,agendada
6,266,,Trinca no rodateto após acomodação da estrutura,257.38,2026-09-13,2026-09-17,concluída
7,58,1154,Retoque de pintura no gesso 3D,264.01,2026-04-02,,agendada
8,57,749,Trinca no rodateto após acomodação da estrutura,89.85,2025-11-20,,solicitada
9,200,1065,Reparo em divisória drywall após passagem de fiação elétrica,195.25,2026-02-27,2026-03-09,concluída
10,84,194,Pequeno reparo estético solicitado pelo cliente,375.97,2024-12-13,2024-12-26,concluída
11,172,111,Infiltração próxima à sanca,416.49,2026-02-24,,solicitada
12,196,24,Infiltração próxima à sanca,,2025-12-01,,agendada
13,285,1051,Reparo em divisória drywall após passagem de fiação elétrica,,2026-09-19,2026-09-21,concluída
14,219,1499,Substituição de placa de drywall danificada por umidade,150.8,2024-06-25,2024-07-02,concluída
15,31,,Trinca no rodateto após acomodação da estrutura,225.66,2025-09-09,2025-09-25,concluída
16,96,1485,Pequeno reparo estético solicitado pelo cliente,106.79,2026-08-13,,agendada
17,101,313,Reparo em divisória drywall após passagem de fiação elétrica,127.32,2026-06-05,,agendada
18,282,1375,Trinca no rodateto após acomodação da estrutura,84.34,2026-08-05,2026-08-07,concluída
19,331,656,Reforço de fixação do forro,409.29,2026-08-04,,solicitada
20,289,,Retoque de pintura no gesso 3D,58.4,2025-11-25,,solicitada
21,259,837,Reparo em divisória drywall após passagem de fiação elétrica,140.86,2026-06-05,2026-06-24,concluída
22,291,452,Trinca no rodateto após acomodação da estrutura,324.61,2026-08-19,2026-08-22,concluída
23,146,55,Ajuste/realinhamento de moldura,256.99,2024-09-16,2024-09-17,concluída
24,147,448,Pequeno reparo estético solicitado pelo cliente,200.3,2025-02-10,,agendada
25,155,610,Ajuste/realinhamento de moldura,254.26,2026-07-08,2026-07-24,concluída
26,237,507,Ajuste/realinhamento de moldura,361.07,2026-01-25,,agendada
27,116,1089,Substituição de placa de drywall danificada por umidade,,2025-10-25,,solicitada
28,293,1143,Reforço de fixação do forro,128.28,2025-08-13,2025-08-16,concluída
29,65,50,Pequeno reparo estético solicitado pelo cliente,337.97,2026-04-18,2026-04-23,concluída
30,212,1126,Reparo em divisória drywall após passagem de fiação elétrica,122.32,2026-08-08,2026-08-23,concluída
31,273,299,Pequeno reparo estético solicitado pelo cliente,307.1,2026-09-08,2026-09-12,concluída
32,63,756,Retoque de pintura no gesso 3D,241.39,2025-09-05,2025-09-13,concluída
33,97,203,Infiltração próxima à sanca,98.2,2026-05-28,,agendada
34,290,950,Retoque de pintura no gesso 3D,,2026-09-09,2026-09-16,concluída
35,34,744,Infiltração próxima à sanca,327.24,2026-05-23,2026-05-26,concluída
36,214,768,Infiltração próxima à sanca,313.2,2026-08-03,,agendada
37,245,149,Reparo em divisória drywall após passagem de fiação elétrica,,2026-01-18,2026-01-27,concluída
38,213,,Substituição de placa de drywall danificada por umidade,197.88,2026-01-11,,agendada
39,15,710,Reforço de fixação do forro,386.61,2026-09-12,2026-09-17,concluída
40,62,1040,Reparo em divisória drywall após passagem de fiação elétrica,392.21,2025-12-20,2025-12-28,concluída
41,315,1038,Retoque de pintura no gesso 3D,123.41,2026-01-02,,solicitada
42,271,1311,Reforço de fixação do forro,363.61,2025-05-08,,solicitada
43,211,,Reforço de fixação do forro,,2025-09-20,,solicitada
44,262,1334,Reforço de fixação do forro,403.89,2024-10-31,2024-11-04,concluída
45,79,1219,Pequeno reparo estético solicitado pelo cliente,305.47,2025-11-22,,agendada
46,200,1544,Trinca no rodateto após acomodação da estrutura,135.75,2025-10-25,2025-11-10,concluída
47,235,1206,Reparo em divisória drywall após passagem de fiação elétrica,57.95,2026-07-21,,agendada
48,157,,Reparo em divisória drywall após passagem de fiação elétrica,,2026-07-30,2026-08-10,concluída
49,2,856,Reparo em divisória drywall após passagem de fiação elétrica,328.84,2026-07-18,,solicitada
50,181,572,Pequeno reparo estético solicitado pelo cliente,119.86,2026-05-02,2026-05-10,concluída
51,105,,Substituição de placa de drywall danificada por umidade,393.34,2026-06-19,2026-07-04,concluída
52,301,,Reforço de fixação do forro,144.38,2026-05-20,2026-05-31,concluída
53,59,889,Pequeno reparo estético solicitado pelo cliente,412.96,2025-03-07,2025-03-09,concluída
54,281,1443,Trinca no rodateto após acomodação da estrutura,98.26,2025-10-31,,solicitada
55,210,,Infiltração próxima à sanca,378.54,2026-07-04,,solicitada
56,326,1344,Substituição de placa de drywall danificada por umidade,264.58,2026-01-17,2026-01-31,concluída
57,134,1215,Reparo em divisória drywall após passagem de fiação elétrica,351.96,2025-06-03,,agendada
58,35,334,Trinca no rodateto após acomodação da estrutura,274.23,2026-08-28,,agendada
59,145,,Retoque de pintura no gesso 3D,96.42,2025-07-23,2025-07-26,concluída
60,341,1320,Retoque de pintura no gesso 3D,322.94,2025-12-04,2025-12-06,concluída
61,40,1176,Reparo em divisória drywall após passagem de fiação elétrica,114.28,2025-12-27,2026-01-05,concluída
62,128,651,Reparo em divisória drywall após passagem de fiação elétrica,378.19,2025-12-17,,agendada
63,66,1327,Reforço de fixação do forro,349.58,2024-08-31,,agendada
64,168,1366,Substituição de placa de drywall danificada por umidade,,2026-07-26,2026-08-01,concluída
65,6,786,Substituição de placa de drywall danificada por umidade,224.77,2026-05-07,,solicitada
66,167,1075,Trinca no rodateto após acomodação da estrutura,370.16,2025-11-03,,solicitada
67,24,1401,Infiltração próxima à sanca,230.43,2026-01-26,2026-01-26,concluída
68,259,,Infiltração próxima à sanca,145.38,2026-01-27,,solicitada
69,236,213,Ajuste/realinhamento de moldura,219.27,2026-08-05,2026-08-23,concluída
70,98,1518,Substituição de placa de drywall danificada por umidade,389.38,2026-04-07,2026-04-23,concluída
71,236,1474,Pequeno reparo estético solicitado pelo cliente,297.57,2026-06-02,,solicitada
