id_servico,id_cliente,tipo_servico,subtipo,descricao_detalhada,unidade_medida,quantidade,valor_unitario_aplicado,valor_total,data_execucao,status
1,99,Moldura de Gesso,20cm,Execução de moldura de gesso em escritório.,metro linear,14.85,20.0,297.0,2026-09-21,concluído
2,54,Forro Drywall,,"Forro Drywall - cozinha, conforme orçamento aprovado.",metro quadrado,20.65,98.36,2031.13,2025-03-21,concluído
3,28,Sanca,,Execução de sanca em recepção da loja.,metro linear,9.59,95.0,911.05,2026-04-21,concluído
4,4,Sanca,,"Serviço de sanca solicitado para fachada comercial, imóvel industrial.",metro linear,26.73,94.66,2530.26,2025-12-18,concluído
5,225,Divisória Drywall,,"Divisória Drywall - sala comercial, conforme orçamento aprovado.",metro quadrado,34.89,130.0,4535.7,2024-06-09,concluído
6,332,Gesso Liso,Parede Pintada,Execução de gesso liso em recepção da loja.,m2,34.22,22.0,752.84,2025-07-22,concluído
7,177,Moldura de Gesso,7cm,"Moldura de Gesso - cozinha, conforme orçamento aprovado.",metro linear,10.83,10.63,115.12,2024-07-07,concluído
8,282,Moldura de Gesso,15cm,"Moldura de Gesso - galpão industrial, conforme orçamento aprovado.",metro linear,20.07,17.0,341.19,2024-03-09,concluído
9,318,Sanca,,"Serviço de sanca solicitado para área externa, imóvel residencial.",metro linear,5.58,95.0,530.1,2024-12-02,concluído
10,161,Divisória Drywall,,"Serviço de divisória drywall solicitado para corredor, imóvel residencial.",metro quadrado,23.94,124.67,2984.6,2026-05-10,concluído
11,56,Forro Drywall,,Execução de forro drywall em quarto principal.,metro quadrado,18.24,101.14,1844.79,2024-05-23,Concluido
12,298,Gesso Liso,Parede de Tijolo,Execução de gesso liso em corredor.,metro quadrado,50.89,30.0,1526.7,2024-02-07,concluído
13,302,divisória drywall,,"Divisória Drywall - escritório, conforme orçamento aprovado.",metro quadrado,63.39,130.0,8240.7,2025-06-06,concluído
14,72,Moldura de Gesso,10cm,"Serviço de moldura de gesso solicitado para galpão industrial, imóvel residencial.",metro linear,19.51,,,2025-11-06,Concluido
15,120,Divisória Drywall,,"Divisória Drywall - galpão industrial, conforme orçamento aprovado.",metro quadrado,7.47,122.24,913.13,2025-04-25,Concluido
16,135,Divisória Drywall,,Execução de divisória drywall em sala comercial.,metro quadrado,50.87,130.0,6613.1,2025-01-22,concluído
17,177,Forro Drywall,,Execução de forro drywall em sala comercial.,metro quadrado,43.44,95.0,4126.8,2025-05-28,Concluido
18,309,Divisória Drywall,,Execução de divisória drywall em corredor.,metro quadrado,62.1,130.0,8073.0,2026-04-10,concluído
19,125,Forro Drywall,,Execução de forro drywall em cozinha.,metro quadrado,7.49,95.0,711.55,2025-10-06,concluído
